0,1,2,3
7618,10659727,14,"5,689 sqft"
7619,10659727,7,Industrial (1)
545,10667657,3,Offices only
546,10667657,5,1953
547,10667657,14,520 sqft
548,10667657,7,Office (1)
549,10667657,15,Other
5906,10697437,3,Commercial and office space
5907,10697437,14,"7,500 sqft"
5908,10697437,7,Commercial (1)
8193,10706204,3,Commercial and residential
8194,10706204,5,1986
8195,10706204,14,1 sqft
8196,10706204,12,"15,262 sqft"
8197,10706204,1,"53,537 sqft"
8198,10706204,7,Commercial (1)
862,10706648,3,Commercial only
863,10706648,5,Unknown age
864,10706648,14,600 sqft
865,10706648,12,600 sqft
866,10706648,7,Commercial (1)
10220,10719108,3,Commercial only
10221,10719108,5,1850
10222,10719108,14,"1,232 sqft"
10223,10719108,7,Commercial (1)
10419,10722910,1,Residential only
10420,10722910,1,Detached
10421,10722910,1,"1871, Century"
10422,10722910,1,"11,333 sqft"
10423,10722910,1,Driveway (10)
10424,10722910,1,Above-ground
10425,10722910,1,"Fireplace - Other, Wood fireplace"
10426,10722910,1,Residential (2)
10427,10722910,1,"1 x 7 ½,  1 x 9 ½"
10428,10722910,1,"7 Rooms, 1 Bedroom, 1 Bath/powder room"
10429,10722910,1,"$19,200"
10430,10722910,1,Basement 6 feet or +
3813,10738935,3,Offices only
3814,10738935,5,Unknown age
3815,10738935,14,863 sqft
3816,10738935,12,"212,282 sqft"
3817,10738935,1,"16,152 sqft"
3818,10738935,7,Office (1)
3819,10738935,15,Offices
5575,10741178,3,Commercial and industrial
5576,10741178,5,2016
5577,10741178,14,"3,000 sqft"
5578,10741178,12,"3,000 sqft"
5579,10741178,7,Commercial (1)
5580,10741178,15,Other
1952,10758600,3,Offices only
1953,10758600,5,Unknown age
1954,10758600,14,"4,945 sqft"
1955,10758600,7,Office (1)
3155,10761734,3,Offices only
3156,10761734,5,Unknown age
3157,10761734,14,"1,400 sqft"
3158,10761734,7,Office (1)
10250,10764940,3,Industrial only
10251,10764940,14,"51,898 sqft"
10252,10764940,7,Industrial (1)
5973,10785369,3,Industrial only
5974,10785369,5,2010
5975,10785369,14,"2,439 sqft"
5976,10785369,7,Commercial (1)
8985,10785514,3,Commercial and office space
8986,10785514,14,800 sqft
8987,10785514,12,800 sqft
8988,10785514,7,Commercial (1)
7118,10786105,3,Commercial only
7119,10786105,5,"To be built, New"
