0,1,2,3,4,5,6
8940,1,1955,11,3,2,22920
6300,0,1973,11,3,2,37620
8804,0,,4,2,1,51780
4502,0,1969,11,3,4,22680
8600,0,1938,5,3,1,15840
23830,0,1999,5,3,1,16200
8562,0,,6,3,1,15840
5036,0,1997,5,2,1,21480
2397,0,1900,6,2,1,45000
8642,0,,6,2,1,18600
9204,0,2015,4,2,1,33840
2750,0,1956,6,4,2,10200
7127,0,1965,6,3,1,33600
4127,0,1965,8,3,2,34200
10032,0,1975,4,2,1,19596
7066,0,1965,7,4,3,44760
4535,0,,6,3,1,25800
2234,0,1957,8,2,1,4800
24607,0,,4,2,1,21600
2317,1,1931,4,2,1,36456
2252,0,1923,5,2,1,20400
10583,0,1941,7,3,2,12000
3340,0,1924,5,2,1,21180
2295,0,1966,5,3,1,27120
12331,0,2011,5,3,1,26400
40235,0,1955,8,2,1,13812
7058,0,1986,7,3,2,39240
31344,0,2004,4,2,1,27000
569,0,2011,4,2,1,42000
4397,0,1880,6,3,1,9600
5600,0,1938,7,4,3,19800
7814,0,1950,6,3,1,22440
5406,0,1876,4,2,1,19500
27387,0,1940,5,2,1,14676
3624,0,1948,4,2,1,29196
8950,0,1968,5,3,1,65760
11000,0,1890,4,2,1,9000
6809,0,1950,5,3,1,19500
3200,0,1920,5,3,1,10320
4758,0,1900,5,3,1,20880
8163,0,,5,3,1,15240
7500,0,1973,7,4,1,26520
20062,0,1900,7,2,1,15000
5041,0,1947,4,2,1,13200
13234,1,1884,9,4,1,19200
4976151,0,1948,5,3,1,18300
6400,0,1967,5,3,1,26460
13713,0,1912,4,2,1,30240
4543,1,1923,5,2,1,22200
4450,0,1953,5,2,1,10440
3106,0,1962,5,3,1,31740
3485,0,1962,4,2,1,36000
3000,0,2017,5,3,1,25500
2873,0,1900,4,2,1,21600
16530,0,1988,4,2,1,88080
6958,1,,6,3,1,24720
2519,0,1922,11,4,2,42588
5020,0,1970,5,3,1,27540
2125,0,1921,6,3,1,17160
7431,0,1914,4,2,1,13080
14039,0,1951,6,3,1,19800
5253,0,1978,5,3,1,17460
5825,0,1925,7,3,1,12600
4309,0,2017,4,2,1,40200
2499,0,1918,5,3,1,18300
4978,0,,8,4,2,11904
6493,0,1939,4,2,1,13200
5000,0,,8,3,2,18000
1972,0,1926,7,4,1,46800
3801,0,1952,5,3,1,18860
16238,0,2004,7,2,3,13800
6641,0,1936,9,3,2,4800
445619,0,1983,4,2,1,8400
4722,0,2009,5,2,1,19140
13562,0,1958,5,3,1,19620
7276,0,1938,4,2,1,19080
6553,0,1933,7,2,2,21480
4370,0,1927,11,4,2,50748
2400,0,1976,5,3,1,20700
2000,0,1956,7,3,1,8700
7000,0,1950,4,2,1,21000
23810,0,,5,2,1,6000
18911,0,2004,5,3,1,38040
3545,0,1922,4,2,1,12000
7832,0,2005,12,4,2,21600
7414,0,1975,6,3,1,24600
5774,1,1940,4,2,1,19800
3500,0,1850,10,4,1,19200
12259,0,,5,2,1,49320
16485,0,,10,6,5,24000
5579,0,1997,5,3,1,32760
2520,0,1959,7,3,2,21900
4985,0,1962,5,3,1,25716
7000,0,1966,8,7,1,44160
4500,0,1959,11,3,2,19620
4224,0,1948,5,3,1,11220
3420,0,1970,8,3,2,30900
5547,0,1965,5,3,1,47700
4166,0,1948,5,3,1,14520
12803,0,1976,11,4,2,13200
4250,0,1959,7,3,2,35160
4289,0,1961,5,3,1,34500
7404,1,1940,4,2,1,94980
6807,0,1972,4,2,1,28740
3872,0,1973,5,3,1,25920
4119,0,1964,5,3,1,30600
7387,0,1921,5,3,1,10920
4160,1,,5,3,1,19560
5063,0,1959,6,3,1,31680
2100,0,1900,4,2,1,24000
5509,0,,4,2,1,20700
6887,0,1986,5,3,1,29100
6600,0,1968,5,3,1,29700
26450,0,2010,14,3,3,1
6349,1,1976,5,3,1,23880
9985,0,1928,5,3,1,15300
8999,0,1949,4,2,1,9600
11329,0,1910,5,3,1,16860
5077,0,,8,4,1,17640
21187,1,,5,3,1,22316
1892,0,1885,5,3,2,35040
7145,0,2010,4,2,1,57180
3760,0,1926,5,3,1,13200
13434,0,1950,4,2,1,6960
5984,0,1966,5,3,1,16800
6935,0,1900,5,3,1,27984
4600,0,1937,4,2,1,20340
5994,0,1950,5,2,1,13320
3750,0,1978,4,2,1,33000
7055,0,1979,4,2,1,15840
6256,0,1922,4,2,1,21600
5000,0,,4,2,1,17820
10000,1,1957,5,3,1,26100
6676,0,1956,5,3,1,12360
11119,1,2010,5,3,2,87828
2432,1,1930,5,3,1,28320
5000,0,1950,4,2,1,23484
40000,0,,4,2,1,21000
6300,0,1922,11,3,2,32340
982,0,1910,4,2,1,30900
6674,0,2015,5,3,1,34332
3620,0,1912,4,2,1,29796
3601,0,1925,7,4,1,38100
7582,0,1950,5,3,1,30600
6749,0,1967,5,2,1,21000
1350,1,1948,5,2,1,25848
2173,0,1964,7,3,1,30480
1743,0,2013,4,2,1,33060
4820,0,1904,4,2,1,16680
5750,0,1937,8,3,2,31800
