0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool
10922546,"12,748 sqft",,Offices only,,1976,,Office (1),,,,,"3,520 sqft",,"3,520 sqft",,
10926170,,,Commercial and industrial,,Unknown age,,Commercial (1),,,,,,,"5,500 sqft",,
10941447,,,Commercial and office space,,,,Commercial (1),,,,,,,950 sqft,,
10944365,"3,279 sqft",,Commercial and office space,,1968,,Commercial (2),,,,,"1,500 sqft",,"From 100 sqft to 3,000 sqft",,
10947599,"9,976 sqft",,Commercial only,,1950,,Commercial (1),,,,,"1,588 sqft",,"1,588 sqft",,
10949359,,,Commercial and office space,,2017,,Commercial (1),,,,,,,"1,485 sqft",,
10949838,,,Commercial and office space,,1964,,Office (1),,,,,,,900 sqft,,
10965982,,,Commercial and office space,,,,,,,,,"1,770 sqft",,,,
10974322,,,Offices only,,,,Office (2),,,,,,,"From 1,137 sqft to 2,677 sqft",,
10986284,,,Commercial only,,,,Commercial (1),,,,,,,"5,200 sqft",,
10996553,,,Commercial and office space,,1982,,,,,,,"1,140 sqft",,,,
11001814,,,Commercial only,,Unknown age,,Commercial (1),,,,,,,"1,000 sqft",,
11019953,"76,677 sqft",,Commercial and office space,,2011,,Commercial (1),,,,,"2,000 sqft",,"2,000 sqft",,
11032150,"1,047,108 sqft",,Industrial only,,1964,,Industrial (1),,,,,"360,000 sqft",,"25,000 sqft",,
11033116,,,Commercial and office space,,1973,,Commercial (1),,,,,,,"3,625 sqft",,
11036225,,,Offices only,,1979,,Office (1),,,,,,,"1,050 sqft",,
11041365,,,Commercial only,,1929,,Commercial (1),,,,,,,300 sqft,Other,
11041941,,,Offices only,,2017,,Office (1),,,,,,,142 sqft,,
11061819,,,Commercial and industrial,,,,Industrial (1),,,,,,,"1,600 sqft",,
11063705,"25,467 sqft",,Commercial only,,1962,,Commercial (1),,,,,"2,448 sqft",,"25,467 sqft",Garage,
11065252,"16,020 sqft",,Commercial only,,1980,,Commercial (1),,,,,"2,400 sqft",,"2,400 sqft",,
11068294,"43,475 sqft",,Commercial and office space,,"2013, New",,Office (1),,,,,"1,500 sqft",,"1,500 sqft",,
11073320,,,Commercial only,,,,Commercial (1),,,,,,,"1,375 sqft",Other,
11081814,,,Offices only,,,,Office (1),,,,,,,840 sqft,,
11089805,,,Commercial only,,,,Commercial (1),,,,,,,"1,000 sqft",,
11107389,,,Commercial and office space,,1929,,Commercial (1),,,,,,,"1,400 sqft",,
11109808,,,Commercial and office space,,Unknown age,,,,,,,"1,515 sqft",,,,
11119519,,,Commercial only,,,,Office (3),,,,,,,From 143 sqft to 673 sqft,,
