0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mls_number,Lot area,Zoning,Use of property,Building style,Year built,Fireplace/Stove,Number of units,Residential units,Main unit,Potential gross revenue,Additional features,Building area,Parking,Available area,Type of business,Pool,Type of operation,Residential unit,Intergenerational
10097925,"60,000 sqft", ,Residential only,Semi-detached,2003,Wood stove,Residential (2),"1 x 5 ½,  1 x Other","11 Rooms, 3 Bedrooms, 2 Bath/powder rooms","$19,200",Basement 6 feet or +, ,Garage (1), , , , , , 
10098526,"9,275 sqft", ,Seniors' residence,Detached,1954, ,Residential (9), , ,"$151,200","Basement 6 feet or +, Adapted for reduced mobility", ,Driveway (6), , , , , , 
10099650,"36,976 sqft",Residential, , , , , , , , , , , , , , , , , 
10100139,"46,071 sqft",Residential, , , , , , , , , , , , , , , , , 
10103340,"61,669 sqft",Resort, , , , , , , , , , , , , , , , , 
10104144,"7,890 sqft",Residential, , , , , , , , , , , , , , , , , 
10105776,"26,960 sqft", ,Residential and commercial,Detached,1971, ,Residential (4),"2 x 3 ½,  2 x 4 ½","4 Rooms, 2 Bedrooms, 1 Bath/powder room","$21,840",Basement 6 feet or +,"1,710 sqft","Carport (2), Driveway (16), Garage (2)", , , , , , 
10106770,856 sqft, ,Residential only,Attached,1910, ,Residential (3),3 x 4 ½,"4 Rooms, 2 Bedrooms, 1 Bath/powder room","$25,500", , , , , , , , , 
10107132, , , , , , , , , , , , , , ,Coffee/Donuts, , , , 
10107990,11 sqft,Residential, , , , , , , , , , , , , , , , , 
10109595,"7,980 sqft", ,Residential only,Detached,1935, ,Residential (4),"3 x 3 ½,  1 x 4 ½","3 Rooms, 1 Bedroom, 1 Bath/powder room","$27,300","Basement 6 feet or +, Adapted for reduced mobility", ,Driveway (2), , , , , , 
10111814,"7,798 sqft", ,Commercial and office space, ,1943, ,Commercial (1), , , , ,"1,199 sqft", ,"2,012 sqft",Beauty salon, , , , 
10112901,"60,848 sqft",Other, , , , , , , , , , , , , , , , , 
10113470,"39,548 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10113889,"49,195 sqft",Residential, , , , , , , , , , , , , , , , , 
10114122,"9,020 sqft", ,Commercial only, ,1946, ,Commercial (1), , , , ,"2,532 sqft", ,"2,532 sqft", , , , , 
10114193,"51,817 sqft",Residential, , , , , , , , , , , , , , , , , 
10115106,"8,999 sqft",Residential, , , , , , , , , , , , , , , , , 
10116402,"10,000 sqft",Residential, , , , , , , , , , , , , , , , , 
10116843,"9,096 sqft", ,Commercial only, ,2005, ,Commercial (1), , , , , , ,"4,015 sqft",Other, , , , 
10117251,"8,103 sqft", ,Residential only,Semi-detached,1989, ,Residential (5),"1 x 3 ½,  3 x 4 ½,  1 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$48,336",Basement 6 feet or +, ,"Driveway (9), Garage (3)", , , , , , 
10117660,"7,522 sqft",Residential, , , , , , , , , , , , , , , , , 
10119827,"4,325 sqft", ,Residential only,Attached,Unknown age, ,Residential (8),"1 x 4 ½,  7 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$27,660", ,"1,669 sqft", , , , , , , 
10122829,"82,076 sqft",Residential, , , , , , , , , , , , , , , , , 
10125032,"55,000 sqft", ,Residential only,Detached,1980, ,Residential (32),"9 x 3 ½,  16 x 4 ½,  7 x 5 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$214,740", ,"5,762 sqft",Driveway (40), , , , , , 
10125865,"33,787 sqft",Residential, , , , , , , , , , , , , , , , , 
10126392,"17,169 sqft", ,Commercial and residential, ,1863, , , , , , , , , ,Inn, , , , 
10127065,"4,653,234 sqft", , , ,Unknown age,Wood stove, , , , , , ,"Driveway (20), Garage (4)", , , , , , 
10128297,"9,004 sqft","Commercial, Residential", , , , , , , , , , , , , , , , , 
10129003,"9,242 sqft", ,Commercial only, ,1914, ,Commercial (1), , , , , , ,1 sqft, , , , , 
10130433,"8,700 sqft", ,Residential only,Detached,1962,Wood fireplace,Residential (2),"1 x 5 ½, 1 x 10 ½","10 Rooms, 5 Bedrooms, 2 Bath/powder rooms","$27,000", ,"2,536 sqft","Driveway (5), Garage (2)", , , , , , 
10132838,"5,394 sqft", ,Residential only,Attached,Unknown age,Wood stove,Residential (2),"1 x 4 ½,  1 x 6 ½","6 Rooms, 3 Bedrooms, 1 Bath/powder room","$17,940", , ,Driveway (4), , ,Above-ground, , , 
10135016,"7,100 sqft",Residential, , , , , , , , , , , , , , , , , 
10139742,"8,397 sqft",Residential, , , , , , , , , , , , , , , , , 
10139770,"9,749 sqft", ,Residential only,Detached,1947, ,Residential (2),"1 x 3 ½,  1 x 7 ½","7 Rooms, 4 Bedrooms, 2 Bath/powder rooms","$15,180", , , , , , , , , 
10142272,"46,780 sqft",Residential, , , , , , , , , , , , , , , , , 
10146123, , ,Residential only,Detached,2013, ,Residential (4),"2 x 3 ½,  2 x 5 ½","3 Rooms, 1 Bedroom, 1 Bath/powder room","$35,700", , , , , , , , , 
10146594,"13,325 sqft", ,Residential only,Detached,1964, ,Residential (2),"1 x 4 ½,  1 x Other","11 Rooms, 3 Bedrooms, 2 Bath/powder rooms","$24,900",Basement 6 feet or +,"1,146 sqft","Driveway (5), Garage (1)", , , , , , 
10148752,"11,913 sqft", ,Residential and commercial,Detached,Unknown age, ,"Residential (6), Commercial (2)","2 x 3 ½,  1 x 4 ½,  1 x 5 ½,  2 x 6 ½","5 Rooms, 3 Bedrooms, 1 Bath/powder room","$58,140",Basement 6 feet or +, ,Driveway (7),"From 1,000 sqft to 4,000 sqft", , , , , 
10150718,"32,291 sqft",Residential, , , , , , , , , , , , , , , , , 
10151236,"5,052,960 sqft",Agricultural, , , , , , , , , , , , , , , , , 
10152414, , , , , , , , , , , , , , ,Restaurant, , , , 
10154379,"1,169,558 sqft",Agricultural, , , , , , , , , , , , , , , , , 
10154642,"34,743 sqft",Residential, , , , , , , , , , , , , , , , , 
10155530,"39,803 sqft",Residential, , , , , , , , , , , , , , , , , 
10158396, , , , , , , , , , , , , , ,Beauty salon, , , , 
10158913,"10,095 sqft", ,Residential only,Detached,1969,Wood stove,Residential (2),"1 x 4 ½,  1 x 7 ½","7 Rooms, 3 Bedrooms, 1 Bath/powder room","$11,400", , ,"Driveway (2), Garage (1)", , ,Above-ground, , , 
10159048,"4,390 sqft", ,Residential only,Semi-detached,Unknown age, ,Residential (3),"1 x 3 ½,  2 x 6 ½","6 Rooms, 3 Bedrooms, 1 Bath/powder room","$31,380",Basement 6 feet or +, ,"Driveway (1), Garage (1)", , , , , , 
10159516, , ,Commercial and office space, ,2010, ,Office (1), , , , , , ,"1,150 sqft",Other, , , , 
10160702,"106,494 sqft", ,Commercial only, ,2002, ,Commercial (1), , , , ,848 sqft, ,848 sqft,"Restaurant, Motel", , , , 
10160942,"5,063 sqft", ,Residential and commercial,Detached,Unknown age, ,"Residential (1), Commercial (1)", ,"4 Rooms, 2 Bedrooms, 2 Bath/powder rooms","$30,300", , , ,"1,278 sqft", , , ,1 x 4 ½, 
10162572,"21,753 sqft",Residential, , , , , , , , , , , , , , , , , 
10163170,"65,541 sqft",Residential, , , , , , , , , , , , , , , , , 
10164950,"15,030 sqft",Residential, , , , , , , , , , , , , , , , , 
10165279,"25,362 sqft","Residential, Resort", , , , , , , , , , , , , , , , , 
10165303, , , , , , , , , , , , , , ,Snack bar, , , , 
10165537,"48,430 sqft",Resort, , , , , , , , , , , , , , , , , 
10166916,"14,108 sqft",Residential, , , , , , , , , , , , , , , , , 
10169174,"143,325 sqft", ,Industrial and offices, ,Unknown age, ,Industrial (1), , , , , , ,"143,325 sqft", , , , , 
10171203,"1,192,372 sqft",Other, , , , , , , , , , , , , , , , , 
10172293,"58,735 sqft", ,Multi-family dwelling,Detached,1978,"Fireplace - Other, Wood fireplace",Residential (5), , ,"$120,000",Basement 6 feet or +,"2,356 sqft","Driveway (8), Garage (2)", , ,Above-ground, , , 
